name    ,quantity  ,cost,link
arduino pro micro,2,9.21,https://robu.in/product/pro-micro-5v-16m-mini-leonardo-micro-controller-development-board-for-arduino/
diode 1N4148,12,0.08,https://www.ktron.in/product/diode-1n4148-th/
28 SWG copper wire,1,0.21,https://www.electroncomponents.com/copper-wire-enamelled-28-awg-meters
cherry mx switches,35,15.89,https://keychron.in/product/cherry-mx-switch-set/
heat inserts,25,0.94,https://robu.in/product/m3-x-4-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/
m3 screws,10,2,https://rpishop.in/products/phillips-csk-m3
trrs cable,1,12.19,https://www.amazon.in/CableCreation-Auxiliary-4-Conductor-Microphone-Compatible/dp/B01K3WY93I
shipping,,3.17,
,total,43.66,
